city_ascii,lat,lng,country,admin_name
Tokyo,35.6897,139.6922,Japan,Tōkyō
Jakarta,-6.2146,106.8451,Indonesia,Jakarta
Delhi,28.66,77.23,India,Delhi
Mumbai,18.9667,72.8333,India,Mahārāshtra
Manila,14.5958,120.9772,Philippines,Manila
Shanghai,31.1667,121.4667,China,Shanghai
Sao Paulo,-23.5504,-46.6339,Brazil,São Paulo
Seoul,37.5833,127,"Korea, South",Seoul
Mexico City,19.4333,-99.1333,Mexico,Ciudad de México
Guangzhou,23.1288,113.259,China,Guangdong
Beijing,39.905,116.3914,China,Beijing
Cairo,30.0561,31.2394,Egypt,Al Qāhirah
New York,40.6943,-73.9249,United States,New York
Kolkata,22.5411,88.3378,India,West Bengal
Moscow,55.7558,37.6178,Russia,Moskva
Bangkok,13.75,100.5167,Thailand,Krung Thep Maha Nakhon
Buenos Aires,-34.5997,-58.3819,Argentina,"Buenos Aires, Ciudad Autónoma de"
Shenzhen,22.535,114.054,China,Guangdong
Dhaka,23.7161,90.3961,Bangladesh,Dhaka
Lagos,6.45,3.4,Nigeria,Lagos
Istanbul,41.01,28.9603,Turkey,İstanbul
Osaka,34.6936,135.5019,Japan,Ōsaka
Karachi,24.86,67.01,Pakistan,Sindh
Bangalore,12.9699,77.598,India,Karnātaka
Tehran,35.7,51.4167,Iran,Tehrān
Kinshasa,-4.3317,15.3139,Congo (Kinshasa),Kinshasa
Ho Chi Minh City,10.8167,106.6333,Vietnam,Hồ Chí Minh
Los Angeles,34.1139,-118.4068,United States,California
Rio de Janeiro,-22.9083,-43.1964,Brazil,Rio de Janeiro
Nanyang,32.9987,112.5292,China,Henan
Chennai,13.0825,80.275,India,Tamil Nādu
Chengdu,30.6636,104.0667,China,Sichuan
Lahore,31.5497,74.3436,Pakistan,Punjab
Paris,48.8566,2.3522,France,Île-de-France
London,51.5072,-0.1275,United Kingdom,"London, City of"
Linyi,35.0606,118.3425,China,Shandong
Tianjin,39.1467,117.2056,China,Tianjin
Shijiazhuang,38.0422,114.5086,China,Hebei
Baoding,38.8671,115.4845,China,Hebei
Zhoukou,33.625,114.6418,China,Henan
Lima,-12.05,-77.0333,Peru,Lima
Hyderabad,17.3667,78.4667,India,Telangana
Bogota,4.6126,-74.0705,Colombia,Bogotá
Weifang,36.7167,119.1,China,Shandong
Nagoya,35.1167,136.9333,Japan,Aichi
Wuhan,30.5872,114.2881,China,Hubei
Heze,35.2333,115.4333,China,Shandong
Ganzhou,25.8292,114.9336,China,Jiangxi
Tongshan,34.261,117.1859,China,Jiangsu
Chicago,41.8373,-87.6862,United States,Illinois
Handan,36.6116,114.4894,China,Hebei
Luanda,-8.8383,13.2344,Angola,Luanda
Fuyang,32.8986,115.8045,China,Anhui
Kuala Lumpur,3.1478,101.6953,Malaysia,Kuala Lumpur
Jining,35.4,116.5667,China,Shandong
Dongguan,23.0475,113.7493,China,Guangdong
Hanoi,21.0245,105.8412,Vietnam,Hà Nội
Pune,18.5196,73.8553,India,Mahārāshtra
Chongqing,29.55,106.5069,China,Chongqing
Changchun,43.9,125.2,China,Jilin
Zhumadian,32.9773,114.0253,China,Henan
Ningbo,29.875,121.5492,China,Zhejiang
Onitsha,6.1667,6.7833,Nigeria,Anambra
Nanjing,32.05,118.7667,China,Jiangsu
Hefei,31.8639,117.2808,China,Anhui
Ahmadabad,23.03,72.58,India,Gujarāt
Hong Kong,22.305,114.185,Hong Kong,
Khartoum,15.6031,32.5265,Sudan,Khartoum
Nantong,31.9829,120.8873,China,Jiangsu
Yancheng,33.3936,120.1339,China,Jiangsu
Foshan,23.0292,113.1056,China,Guangdong
Nanning,22.8192,108.315,China,Guangxi
Hengyang,26.8968,112.5857,China,Hunan
Xi'an,34.2667,108.9,China,Shaanxi
Shenyang,41.8039,123.4258,China,Liaoning
Tangshan,39.6292,118.1742,China,Hebei
Shaoyang,27.2418,111.4725,China,Hunan
Changsha,28.1987,112.9709,China,Hunan
Santiago,-33.45,-70.6667,Chile,Región Metropolitana
Zhengzhou,34.7492,113.6605,China,Henan
